question_id,genre_id,question,option1,option2,option3,option4,answer,explanation
529,6,"미술 사조 중 "자동기술법"을 중요시한 예술 운동은?",초현실주의,입체파,인상주의,야수파,초현실주의,"초현실주의는 무의식적인 표현을 강조하며, 자동기술법(오토마티즘)을 많이 사용하였습니다."
530,6,"폴 고갱이 활동했던 주요 지역은?",타히티,뉴욕,파리,도쿄,타히티,"폴 고갱은 타히티에서 원시적이고 강렬한 색채를 활용한 작품을 남겼습니다."
531,6,"입체파(Cubism)에서 "분석적 입체파"와 "종합적 입체파"를 구분한 화가는?","파블로 피카소","조르주 브라크","살바도르 달리","앙리 마티스","조르주 브라크","브라크와 피카소는 입체파를 창시했으며, 분석적 입체파와 종합적 입체파로 구분하여 발전시켰습니다."
532,6,"20세기 후반 "미니멀리즘" 미술을 대표하는 화가는?","도널드 저드","앤디 워홀","프란시스 베이컨","자크 루이 다비드","도널드 저드","도널드 저드는 단순한 형태와 색상을 사용하여 미니멀리즘 미술을 대표하는 화가입니다."
533,6,"야수파(Fauvism)에서 색채를 강조한 대표적인 화가는?","앙리 마티스","파블로 피카소","빈센트 반 고흐","에드가 드가","앙리 마티스","앙리 마티스는 원색을 강렬하게 사용하여 감정을 표현하는 야수파의 대표적인 화가입니다."
534,6,"초현실주의에서 "꿈과 무의식"을 중요시한 화가는?","살바도르 달리","르네 마그리트","호안 미로","앙드레 브르통","살바도르 달리","달리는 꿈과 무의식을 시각적으로 표현한 초현실주의의 대표적인 화가입니다."
535,6,"피카소의 "게르니카"는 어떤 사건을 바탕으로 제작되었는가?","스페인 내전","제1차 세계대전","프랑스 혁명","미국 독립전쟁","스페인 내전",""게르니카"는 스페인 내전 당시 독일 공군의 게르니카 폭격을 주제로 한 반전(反戰) 작품입니다."
536,6,"로댕의 "지옥의 문"에 포함된 유명한 조각상은?","생각하는 사람",다비드상,"비너스의 탄생","라오콘 군상","생각하는 사람",""생각하는 사람"은 원래 "지옥의 문" 조각 작품의 일부로 제작되었습니다."
537,6,""네덜란드 황금시대"의 대표적인 화가는?",렘브란트,"반 다이크",카라바조,"얀 베르메르",렘브란트,"렘브란트는 네덜란드 황금시대를 대표하는 화가로, 빛과 그림자의 극적인 효과를 활용하였습니다."
538,6,"바우하우스(Bauhaus) 미술 운동은 주로 어떤 분야에 영향을 미쳤는가?","건축과 디자인",회화,조각,판화,"건축과 디자인","바우하우스는 기능성과 단순함을 강조하며, 건축과 디자인 분야에 큰 영향을 미쳤습니다."
539,6,"몬드리안이 선호했던 주요 색상은?","빨강, 노랑, 파랑","녹색, 보라, 주황","검정, 회색, 흰색","청록, 분홍, 갈색","빨강, 노랑, 파랑","피트 몬드리안은 기하학적 구성을 활용하며 빨강, 노랑, 파랑의 삼원색을 주로 사용했습니다."
540,6,"프랑스 로코코 미술의 대표적인 화가는?","프랑수아 부셰","자크 루이 다비드","장 오귀스트 도미니크 앵그르","윌리엄 터너","프랑수아 부셰","부셰는 화려하고 장식적인 로코코 양식의 대표적인 화가입니다."
541,6,"자연주의 풍경화를 주로 그린 영국 화가는?","존 컨스터블","조슈아 레이놀즈","프란시스 베이컨","프레더릭 레이턴","존 컨스터블","존 컨스터블은 영국의 자연 풍경을 사실적으로 묘사한 화가입니다."
542,6,""모더니즘" 미술은 어느 시기에 발전했는가?","20세기 초반","19세기 중반","18세기 후반",21세기,"20세기 초반","모더니즘 미술은 전통적인 기법을 탈피하고 새로운 표현 방식을 탐구한 20세기 초반의 운동입니다."
543,6,""우키요에(浮世絵)"는 어느 나라의 미술 양식인가?",일본,중국,한국,태국,일본,"우키요에는 일본의 전통 목판화로, 가쓰시카 호쿠사이와 우타가와 히로시게가 대표적인 화가입니다."
544,6,""추상 표현주의(Abstract Expressionism)"를 대표하는 화가는?","잭슨 폴록","피에트 몬드리안","에드워드 호퍼","앙리 마티스","잭슨 폴록","잭슨 폴록은 물감을 캔버스에 흩뿌리는 "드리핑 기법"을 사용한 추상 표현주의 화가입니다."
545,6,""다다이즘(Dadaism)" 운동은 주로 무엇에 반대하는 미술 운동이었는가?","전통 예술과 권위",자연주의,"르네상스 미술","로코코 미술","전통 예술과 권위","다다이즘은 제1차 세계대전 후 전통적인 예술과 사회 질서에 반대하며 탄생한 실험적인 예술 운동입니다."
546,6,"이탈리아에서 시작된 "미래주의(Futurism)"는 어떤 주제를 강조했는가?","속도와 기계","고전 미학","자연 경관","신화와 전설","속도와 기계","미래주의는 기계 문명과 현대 도시의 속도감을 강조한 미술 운동입니다."
547,6,""인상, 해돋이"라는 작품에서 비롯된 미술 사조는?",인상주의,입체파,초현실주의,야수파,인상주의,""인상, 해돋이"는 클로드 모네의 작품으로, 인상주의 미술 운동의 시초가 되었습니다."
548,6,"미술에서 "알레고리(Allegory)"란 무엇을 의미하는가?","상징적인 표현","기하학적 구도","자연주의 기법","색채 대비 기법","상징적인 표현","알레고리는 상징을 통해 특정한 개념이나 이야기를 전달하는 미술 기법입니다."
549,6,"19세기 낭만주의 미술의 대표적인 화가는?","외젠 들라크루아","자크 루이 다비드","피터 폴 루벤스","카스파르 다비드 프리드리히","외젠 들라크루아","들라크루아는 극적인 구도와 강렬한 색채를 사용한 낭만주의 화가입니다."
550,6,""키스"라는 작품을 그린 화가는?","구스타프 클림트","프란시스코 고야","프레더릭 레이턴","에드워드 호퍼","구스타프 클림트","구스타프 클림트의 "키스"는 황금빛 색채와 화려한 장식적인 스타일이 특징입니다."
